Fecha,Hora,Host,Bajada,Subida
11-02-2022,17:51:37,sp1.wom.cl:8080,50.83,12.77
11-02-2022,17:52:37,sp1.wom.cl:8080,48.92,14.33
11-02-2022,17:53:37,sp1.wom.cl:8080,42.08,13.4
11-02-2022,17:54:37,sp1.wom.cl:8080,39.08,15.66
11-02-2022,18:16:04,sp1.wom.cl:8080,146.96,16.92
14-02-2022,10:53:30,speedtest.tuwifi.cl:8080,206.34,14.81
14-02-2022,10:54:30,speedtest.tuwifi.cl:8080,226.08,33.26
14-02-2022,10:55:30,speedtest.tuwifi.cl:8080,209.48,18.57
14-02-2022,10:56:30,speedtest.tuwifi.cl:8080,70.16,19.33
14-02-2022,10:57:29,speedtest.tuwifi.cl:8080,72.82,17.02
14-02-2022,10:58:30,speedtest.tuwifi.cl:8080,194.03,9.47
14-02-2022,10:59:30,speedtest.tuwifi.cl:8080,170.85,26.16
14-02-2022,11:00:30,speedtest.tuwifi.cl:8080,266.5,23.96
14-02-2022,11:01:30,speedtest.tuwifi.cl:8080,122.88,12.25
14-02-2022,11:02:30,speedtest.tuwifi.cl:8080,174.69,21.74
14-02-2022,11:03:30,speedtest.tuwifi.cl:8080,154.21,16.0
14-02-2022,11:04:30,speedtest.tuwifi.cl:8080,169.95,16.47
14-02-2022,11:05:30,speedtest.tuwifi.cl:8080,284.35,21.61
14-02-2022,11:06:30,speedtest.tuwifi.cl:8080,69.67,16.53
14-02-2022,11:07:30,speedtest.tuwifi.cl:8080,167.33,27.95
14-02-2022,11:08:30,speedtest.tuwifi.cl:8080,155.02,18.02
14-02-2022,11:09:29,speedtest.tuwifi.cl:8080,267.66,20.59
14-02-2022,11:10:29,speedtest.tuwifi.cl:8080,260.31,40.31
14-02-2022,11:11:30,speedtest.tuwifi.cl:8080,144.06,14.19
14-02-2022,11:12:30,speedtest.tuwifi.cl:8080,153.27,18.28
14-02-2022,11:13:30,speedtest.tuwifi.cl:8080,259.85,27.29
14-02-2022,11:14:30,speedtest.tuwifi.cl:8080,86.78,11.79
14-02-2022,11:15:30,speedtest.tuwifi.cl:8080,132.64,11.11
14-02-2022,11:16:30,speedtest.tuwifi.cl:8080,219.37,32.5
14-02-2022,11:17:30,speedtest.tuwifi.cl:8080,138.0,14.98
14-02-2022,11:18:29,speedtest.tuwifi.cl:8080,233.03,20.3
14-02-2022,11:19:30,speedtest.tuwifi.cl:8080,88.93,17.7
14-02-2022,11:20:30,speedtest.tuwifi.cl:8080,83.1,16.8
14-02-2022,11:21:30,speedtest.tuwifi.cl:8080,73.88,19.99
14-02-2022,11:22:30,speedtest.tuwifi.cl:8080,100.96,15.78
14-02-2022,11:23:30,speedtest.tuwifi.cl:8080,108.12,18.08
14-02-2022,11:24:30,speedtest.tuwifi.cl:8080,186.55,19.21
14-02-2022,11:25:30,speedtest.tuwifi.cl:8080,160.34,9.13
14-02-2022,11:26:30,speedtest.tuwifi.cl:8080,222.44,8.89
14-02-2022,11:27:30,speedtest.tuwifi.cl:8080,72.7,16.72
14-02-2022,11:28:30,speedtest.tuwifi.cl:8080,250.78,49.78
14-02-2022,11:29:30,speedtest.tuwifi.cl:8080,241.32,15.9
14-02-2022,11:30:30,speedtest.tuwifi.cl:8080,92.13,13.41
14-02-2022,11:31:30,speedtest.tuwifi.cl:8080,213.48,17.04
14-02-2022,11:32:30,speedtest.tuwifi.cl:8080,171.94,19.67
14-02-2022,11:33:30,speedtest.tuwifi.cl:8080,180.19,32.73
14-02-2022,11:34:30,speedtest.tuwifi.cl:8080,202.08,14.96
14-02-2022,11:35:30,speedtest.tuwifi.cl:8080,170.84,34.95
14-02-2022,11:36:30,speedtest.tuwifi.cl:8080,222.89,13.58
14-02-2022,11:37:30,speedtest.tuwifi.cl:8080,254.51,17.49
14-02-2022,11:38:30,speedtest.tuwifi.cl:8080,190.67,16.92
14-02-2022,11:39:30,speedtest.tuwifi.cl:8080,127.93,17.86
14-02-2022,11:40:30,speedtest.tuwifi.cl:8080,177.64,30.79
14-02-2022,11:41:30,speedtest.tuwifi.cl:8080,93.64,26.18
14-02-2022,11:42:30,speedtest.tuwifi.cl:8080,177.1,14.83
14-02-2022,11:43:30,speedtest.tuwifi.cl:8080,117.2,1.64
14-02-2022,11:44:30,speedtest.tuwifi.cl:8080,183.07,32.54
14-02-2022,11:45:30,speedtest.tuwifi.cl:8080,222.16,20.71
14-02-2022,11:46:30,speedtest.tuwifi.cl:8080,180.98,11.92
14-02-2022,11:47:31,speedtest.tuwifi.cl:8080,60.28,16.78
14-02-2022,11:48:30,speedtest.tuwifi.cl:8080,67.73,14.92
14-02-2022,11:49:30,speedtest.tuwifi.cl:8080,241.96,21.59
14-02-2022,11:50:30,speedtest.tuwifi.cl:8080,204.71,52.0
14-02-2022,11:51:30,speedtest.tuwifi.cl:8080,123.99,16.59
14-02-2022,11:52:30,speedtest.tuwifi.cl:8080,158.26,21.88
2022-02-15,12:34:12,nacional.grupogtd.com:8080,43.8,25.07
2022-02-15,12:35:12,nacional.grupogtd.com:8080,45.98,21.08
2022-02-15,12:36:12,nacional.grupogtd.com:8080,52.39,41.16
2022-02-15,13:04:26,nacional.grupogtd.com:8080,51.83,34.04
2022-02-15,13:05:26,nacional.grupogtd.com:8080,36.81,13.06
2022-02-15,13:09:25,speedtest-movistar-scl-lflo.movistarplay.cl:8080,46.28,20.7
2022-02-15,13:10:24,speedtest-movistar-scl-lflo.movistarplay.cl:8080,48.0,28.55
2022-02-15,13:11:24,speedtest-movistar-scl-lflo.movistarplay.cl:8080,53.05,28.11
